Model,RMSE,MSE,R2_ACC,MAE
RF,1.2352530456871178,1.5258500868793008,0.5193448639326628,0.8801100231020984
ANN,1.2669154544766148,1.6050747687916875,0.4943884474459217,0.8667450465291432
DT,1.4012247638560418,1.96343083884342,0.3815033828564166,1.0015180252440694
